date,description,amount,category,clean_description,month,day_of_week,year_month,category_encoded
2023-02-22,MAINTENANCE FEE #8216,1769.46,Bills & Utilities,maintenance fee,2,2,2023-02,0
2023-02-22,YOUTUBE PREMIUM #5114,1367.38,Entertainment,youtube premium,2,2,2023-02,1
2023-02-23,PETROL PUMP #3267,1749.81,Transport,petrol pump,2,3,2023-02,5
2023-02-23,PETROL PUMP #4687,1409.8,Transport,petrol pump,2,3,2023-02,5
2023-02-23,SUBWAY #2146,1432.81,Food & Dining,subway,2,3,2023-02,2
2023-02-23,BOOKMYSHOW #1258,343.12,Entertainment,bookmyshow,2,3,2023-02,1
2023-02-23,AJIO ORDER #8424,537.88,Shopping,ajio order,2,3,2023-02,4
2023-02-24,DENTAL CLINIC #2395,658.04,Health,dental clinic,2,4,2023-02,3
2023-02-24,GAS CYLINDER #5819,405.81,Bills & Utilities,gas cylinder,2,4,2023-02,0
2023-02-25,DTH RECHARGE #7305,828.41,Bills & Utilities,dth recharge,2,5,2023-02,0
2023-02-25,RESTAURANT BILL #9308,1237.82,Food & Dining,restaurant bill,2,5,2023-02,2
2023-02-25,AMAZON ORDER #1570,6763.49,Shopping,amazon order,2,5,2023-02,4
2023-02-25,DECATHLON SPORTS #3727,3495.21,Shopping,decathlon sports,2,5,2023-02,4
2023-02-25,NETFLIX SUBSCRIPTION #9889,746.23,Entertainment,netflix subscription,2,5,2023-02,1
2023-02-25,YOUTUBE PREMIUM #1871,363.68,Entertainment,youtube premium,2,5,2023-02,1
2023-02-25,HOSPITAL BILL #6615,802.52,Health,hospital bill,2,5,2023-02,3
2023-02-26,PHARMACY BILL #8960,2368.48,Health,pharmacy bill,2,6,2023-02,3
2023-02-26,RESTAURANT BILL #7475,1477.45,Food & Dining,restaurant bill,2,6,2023-02,2
2023-02-26,WATER BILL #8428,3100.25,Bills & Utilities,water bill,2,6,2023-02,0
2023-02-26,DOCTOR CONSULTATION #6500,2233.71,Health,doctor consultation,2,6,2023-02,3
2023-02-26,OLA RIDE #5635,666.65,Transport,ola ride,2,6,2023-02,5
2023-02-27,MCDONALD'S #7251,163.79,Food & Dining,mcdonalds,2,0,2023-02,2
2023-02-27,DECATHLON SPORTS #7690,2183.59,Shopping,decathlon sports,2,0,2023-02,4
2023-02-27,MEDICINE ORDER #9462,2614.85,Health,medicine order,2,0,2023-02,3
2023-02-28,DISNEY PLUS #5693,1095.96,Entertainment,disney plus,2,1,2023-02,1
2023-02-28,DISNEY PLUS #1998,1146.91,Entertainment,disney plus,2,1,2023-02,1
2023-02-28,GAMING PURCHASE #5498,994.9,Entertainment,gaming purchase,2,1,2023-02,1
2023-02-28,RESTAURANT BILL #2534,289.41,Food & Dining,restaurant bill,2,1,2023-02,2
2023-03-01,PETROL PUMP #5861,458.87,Transport,petrol pump,3,2,2023-03,5
2023-03-02,PRACTO APPOINTMENT #5198,311.86,Health,practo appointment,3,3,2023-03,3
2023-03-02,RAPIDO BIKE #9954,991.98,Transport,rapido bike,3,3,2023-03,5
2023-03-03,LIFESTYLE STORE #9278,1061.45,Shopping,lifestyle store,3,4,2023-03,4
2023-03-03,EYE CLINIC #6544,2799.46,Health,eye clinic,3,4,2023-03,3
2023-03-03,BUS PASS #3084,93.23,Transport,bus pass,3,4,2023-03,5
2023-03-04,INSURANCE PREMIUM #8993,1236.34,Bills & Utilities,insurance premium,3,5,2023-03,0
2023-03-05,AJIO ORDER #8792,4110.66,Shopping,ajio order,3,6,2023-03,4
2023-03-05,MYNTRA FASHION #2212,2362.84,Shopping,myntra fashion,3,6,2023-03,4
2023-03-05,DTH RECHARGE #2065,3934.97,Bills & Utilities,dth recharge,3,6,2023-03,0
2023-03-06,EYE CLINIC #4907,1518.77,Health,eye clinic,3,0,2023-03,3
2023-03-06,BIGBASKET ORDER #4148,1035.94,Food & Dining,bigbasket order,3,0,2023-03,2
2023-03-06,ELECTRICITY BILL #4519,1108.34,Bills & Utilities,electricity bill,3,0,2023-03,0
2023-03-07,AJIO ORDER #3051,975.64,Shopping,ajio order,3,1,2023-03,4
2023-03-07,EMI PAYMENT #3796,4193.23,Bills & Utilities,emi payment,3,1,2023-03,0
2023-03-07,RAPIDO BIKE #7505,232.93,Transport,rapido bike,3,1,2023-03,5
2023-03-07,RENT PAYMENT #6220,4314.91,Bills & Utilities,rent payment,3,1,2023-03,0
2023-03-07,NETFLIX SUBSCRIPTION #7914,906.54,Entertainment,netflix subscription,3,1,2023-03,1
2023-03-07,IRCTC TICKET #9619,253.89,Transport,irctc ticket,3,1,2023-03,5
2023-03-08,BIGBASKET ORDER #4666,1401.08,Food & Dining,bigbasket order,3,2,2023-03,2
2023-03-09,CAFE COFFEE DAY #4485,715.23,Food & Dining,cafe coffee day,3,3,2023-03,2
2023-03-09,PETROL PUMP #6113,1197.29,Transport,petrol pump,3,3,2023-03,5
2023-03-09,AUTO RICKSHAW #6353,799.74,Transport,auto rickshaw,3,3,2023-03,5
2023-03-10,SWIGGY DELIVERY #5541,764.92,Food & Dining,swiggy delivery,3,4,2023-03,2
2023-03-10,RAPIDO BIKE #5225,659.91,Transport,rapido bike,3,4,2023-03,5
2023-03-10,DOMINOS PIZZA #8179,100.46,Food & Dining,dominos pizza,3,4,2023-03,2
2023-03-10,DENTAL CLINIC #2198,942.89,Health,dental clinic,3,4,2023-03,3
2023-03-10,IKEA PURCHASE #5782,5399.92,Shopping,ikea purchase,3,4,2023-03,4
2023-03-11,RESTAURANT BILL #5614,418.91,Food & Dining,restaurant bill,3,5,2023-03,2
2023-03-11,EYE CLINIC #4962,1564.24,Health,eye clinic,3,5,2023-03,3
2023-03-11,IKEA PURCHASE #1173,5447.85,Shopping,ikea purchase,3,5,2023-03,4
2023-03-12,KFC ORDER #2312,1284.45,Food & Dining,kfc order,3,6,2023-03,2
2023-03-12,IKEA PURCHASE #8018,5359.87,Shopping,ikea purchase,3,6,2023-03,4
2023-03-12,DOCTOR CONSULTATION #9866,2982.96,Health,doctor consultation,3,6,2023-03,3
2023-03-12,GYM MEMBERSHIP #8183,2413.29,Health,gym membership,3,6,2023-03,3
2023-03-12,IKEA PURCHASE #5404,3420.65,Shopping,ikea purchase,3,6,2023-03,4
2023-03-12,MOVIE TICKET #3170,1406.5,Entertainment,movie ticket,3,6,2023-03,1
2023-03-13,MEDICINE ORDER #8833,1364.57,Health,medicine order,3,0,2023-03,3
2023-03-13,EYE CLINIC #6925,1774.32,Health,eye clinic,3,0,2023-03,3
2023-03-14,MEDICINE ORDER #1022,2595.11,Health,medicine order,3,1,2023-03,3
2023-03-14,WATER BILL #8709,363.02,Bills & Utilities,water bill,3,1,2023-03,0
2023-03-14,DOCTOR CONSULTATION #6339,1712.83,Health,doctor consultation,3,1,2023-03,3
2023-03-14,RENT PAYMENT #2847,1281.3,Bills & Utilities,rent payment,3,1,2023-03,0
2023-03-14,MOBILE RECHARGE #2692,270.82,Bills & Utilities,mobile recharge,3,1,2023-03,0
2023-03-14,BIGBASKET ORDER #4616,928.63,Food & Dining,bigbasket order,3,1,2023-03,2
2023-03-14,AMAZON ORDER #5355,4326.36,Shopping,amazon order,3,1,2023-03,4
2023-03-14,MAINTENANCE FEE #6043,3241.14,Bills & Utilities,maintenance fee,3,1,2023-03,0
2023-03-15,LAB TEST #5352,2497.23,Health,lab test,3,2,2023-03,3
2023-03-15,APPLE MUSIC #9589,443.99,Entertainment,apple music,3,2,2023-03,1
2023-03-15,EMI PAYMENT #7631,4259.61,Bills & Utilities,emi payment,3,2,2023-03,0
2023-03-16,YOGA CLASS #8491,1016.91,Health,yoga class,3,3,2023-03,3
2023-03-16,INTERNET BILL #7653,1557.43,Bills & Utilities,internet bill,3,3,2023-03,0
2023-03-16,BIGBASKET ORDER #9514,1201.46,Food & Dining,bigbasket order,3,3,2023-03,2
2023-03-17,AJIO ORDER #1920,2945.15,Shopping,ajio order,3,4,2023-03,4
2023-03-17,MCDONALD'S #5839,1207.18,Food & Dining,mcdonalds,3,4,2023-03,2
2023-03-17,GAMING PURCHASE #7708,1252.5,Entertainment,gaming purchase,3,4,2023-03,1
2023-03-17,MEDICINE ORDER #4279,455.65,Health,medicine order,3,4,2023-03,3
2023-03-17,MYNTRA FASHION #7932,6354.8,Shopping,myntra fashion,3,4,2023-03,4
2023-03-17,SUBWAY #6434,104.94,Food & Dining,subway,3,4,2023-03,2
2023-03-18,DECATHLON SPORTS #3906,7870.94,Shopping,decathlon sports,3,5,2023-03,4
2023-03-18,APPLE MUSIC #5240,1384.32,Entertainment,apple music,3,5,2023-03,1
2023-03-18,PETROL PUMP #8790,564.06,Transport,petrol pump,3,5,2023-03,5
2023-03-19,INTERNET BILL #9142,3213.68,Bills & Utilities,internet bill,3,6,2023-03,0
2023-03-19,NYKAA COSMETICS #8650,5351.73,Shopping,nykaa cosmetics,3,6,2023-03,4
2023-03-19,RAPIDO BIKE #3504,1527.62,Transport,rapido bike,3,6,2023-03,5
2023-03-19,SWIGGY DELIVERY #8161,386.61,Food & Dining,swiggy delivery,3,6,2023-03,2
2023-03-20,MYNTRA FASHION #9824,1732.17,Shopping,myntra fashion,3,0,2023-03,4
2023-03-20,DISNEY PLUS #2867,683.7,Entertainment,disney plus,3,0,2023-03,1
2023-03-20,LIFESTYLE STORE #5911,3977.0,Shopping,lifestyle store,3,0,2023-03,4
2023-03-21,INSURANCE PREMIUM #2329,3957.8,Bills & Utilities,insurance premium,3,1,2023-03,0
2023-03-21,RENT PAYMENT #6985,2979.63,Bills & Utilities,rent payment,3,1,2023-03,0
2023-03-22,INTERNET BILL #5177,1096.35,Bills & Utilities,internet bill,3,2,2023-03,0
2023-03-22,DISNEY PLUS #4348,430.07,Entertainment,disney plus,3,2,2023-03,1
2023-03-22,MOVIE TICKET #2353,1117.64,Entertainment,movie ticket,3,2,2023-03,1
2023-03-22,YOUTUBE PREMIUM #4860,766.24,Entertainment,youtube premium,3,2,2023-03,1
2023-03-22,MEESHO ORDER #1949,2078.8,Shopping,meesho order,3,2,2023-03,4
2023-03-23,LIFESTYLE STORE #6123,6792.92,Shopping,lifestyle store,3,3,2023-03,4
2023-03-23,SWIGGY DELIVERY #5310,371.57,Food & Dining,swiggy delivery,3,3,2023-03,2
2023-03-23,PETROL PUMP #5122,1882.66,Transport,petrol pump,3,3,2023-03,5
2023-03-23,PRACTO APPOINTMENT #7199,739.72,Health,practo appointment,3,3,2023-03,3
2023-03-23,RESTAURANT BILL #9051,1396.19,Food & Dining,restaurant bill,3,3,2023-03,2
2023-03-24,IKEA PURCHASE #9847,4051.6,Shopping,ikea purchase,3,4,2023-03,4
2023-03-24,PRACTO APPOINTMENT #1555,894.71,Health,practo appointment,3,4,2023-03,3
2023-03-24,RELIANCE TRENDS #6238,7165.61,Shopping,reliance trends,3,4,2023-03,4
2023-03-25,AUTO RICKSHAW #9011,442.2,Transport,auto rickshaw,3,5,2023-03,5
2023-03-25,DECATHLON SPORTS #2783,1571.01,Shopping,decathlon sports,3,5,2023-03,4
